# x  y  z  value
-0.32107 0.278934 0 -0.517547
-0.292893 0.256282 0 -0.604611
-0.318782 0.318782 0 -0.464698
-0.292893 0.292893 0 -0.543446
-0.256282 -0.256282 0 -0.680619
-0.21967 -0.256282 0 -0.761492
-0.256282 -0.21967 0 -0.761492
-0.21967 -0.21967 0 -0.862306
-0.183058 -0.256282 0 -0.844904
-0.146447 -0.256282 0 -0.926732
-0.183058 -0.21967 0 -0.968978
-0.146447 -0.21967 0 -1.07655
-0.256282 -0.183058 0 -0.844904
-0.21967 -0.183058 0 -0.968978
-0.256282 -0.146447 0 -0.926732
-0.21967 -0.146447 0 -1.07655
-0.183058 -0.183058 0 -1.10414
-0.146447 -0.183058 0 -1.24466
-0.183058 -0.146447 0 -1.24466
-0.146447 -0.146447 0 -1.42499
-0.109835 -0.256282 0 -1.0013
-0.0732233 -0.256282 0 -1.0618
-0.109835 -0.21967 0 -1.17724
-0.0732233 -0.21967 0 -1.2609
-0.0366117 -0.256282 0 -1.1015
0 -0.256282 0 -1.11536
-0.0366117 -0.21967 0 -1.31679
0 -0.21967 0 -1.33649
-0.109835 -0.183058 0 -1.38016
-0.0732233 -0.183058 0 -1.49571
-0.109835 -0.146447 0 -1.60428
-0.0732233 -0.146447 0 -1.76131
-0.0366117 -0.183058 0 -1.57442
0 -0.183058 0 -1.60245
-0.0366117 -0.146447 0 -1.8704
0 -0.146447 0 -1.90966
-0.256282 -0.109835 0 -1.0013
-0.21967 -0.109835 0 -1.17724
-0.256282 -0.0732233 0 -1.0618
-0.21967 -0.0732233 0 -1.2609
-0.183058 -0.109835 0 -1.38016
-0.146447 -0.109835 0 -1.60428
-0.183058 -0.0732233 0 -1.49571
-0.146447 -0.0732233 0 -1.76131
-0.256282 -0.0366117 0 -1.1015
-0.21967 -0.0366117 0 -1.31679
-0.256282 0 0 -1.11536
-0.21967 0 0 -1.33649
-0.183058 -0.0366117 0 -1.57442
-0.146447 -0.0366117 0 -1.8704
-0.183058 0 0 -1.60245
-0.146447 0 0 -1.90966
-0.109835 -0.109835 0 -1.83353
-0.0732233 -0.109835 0 -2.03936
-0.109835 -0.0732233 0 -2.03936
-0.0732233 -0.0732233 0 -2.29409
-0.0366117 -0.109835 0 -2.185
0 -0.109835 0 -2.23793
-0.0366117 -0.0732233 0 -2.47705
0 -0.0732233 0 -2.54408
-0.109835 -0.0366117 0 -2.185
-0.0732233 -0.0366117 0 -2.47705
-0.109835 0 0 -2.23793
-0.0732233 0 0 -2.54408
-0.0366117 -0.0366117 0 -2.68888
0 -0.0366117 0 -2.76689
-0.0366117 0 0 -2.76689
0 0 0 -2.8491
0.0366117 -0.256282 0 -1.1015
0.0732233 -0.256282 0 -1.0618
0.0366117 -0.21967 0 -1.31679
0.0732233 -0.21967 0 -1.2609
0.109835 -0.256282 0 -1.0013
0.146447 -0.256282 0 -0.926732
0.109835 -0.21967 0 -1.17724
0.146447 -0.21967 0 -1.07655
0.0366117 -0.183058 0 -1.57442
0.0732233 -0.183058 0 -1.49571
0.0366117 -0.146447 0 -1.8704
0.0732233 -0.146447 0 -1.76131
0.109835 -0.183058 0 -1.38016
0.146447 -0.183058 0 -1.24466
0.109835 -0.146447 0 -1.60428
0.146447 -0.146447 0 -1.42499
0.183058 -0.256282 0 -0.844904
0.21967 -0.256282 0 -0.761492
0.183058 -0.21967 0 -0.968978
0.21967 -0.21967 0 -0.862306
0.256282 -0.256282 0 -0.680619
0.292893 -0.256282 0 -0.604611
0.256282 -0.21967 0 -0.761492
0.292893 -0.21967 0 -0.669136
0.183058 -0.183058 0 -1.10414
0.21967 -0.183058 0 -0.968978
0.183058 -0.146447 0 -1.24466
0.21967 -0.146447 0 -1.07655
0.256282 -0.183058 0 -0.844904
0.292893 -0.183058 0 -0.734199
0.256282 -0.146447 0 -0.926732
0.292893 -0.146447 0 -0.796527
0.0366117 -0.109835 0 -2.185
0.0732233 -0.109835 0 -2.03936
0.0366117 -0.0732233 0 -2.47705
0.0732233 -0.0732233 0 -2.29409
0.109835 -0.109835 0 -1.83353
0.146447 -0.109835 0 -1.60428
0.109835 -0.0732233 0 -2.03936
0.146447 -0.0732233 0 -1.76131
0.0366117 -0.0366117 0 -2.68888
0.0732233 -0.0366117 0 -2.47705
0.0366117 0 0 -2.76689
0.0732233 0 0 -2.54408
0.109835 -0.0366117 0 -2.185
0.146447 -0.0366117 0 -1.8704
0.109835 0 0 -2.23793
0.146447 0 0 -1.90966
0.183058 -0.109835 0 -1.38016
0.21967 -0.109835 0 -1.17724
0.183058 -0.0732233 0 -1.49571
0.21967 -0.0732233 0 -1.2609
0.256282 -0.109835 0 -1.0013
0.292893 -0.109835 0 -0.852032
0.256282 -0.0732233 0 -1.0618
0.292893 -0.0732233 0 -0.896164
0.183058 -0.0366117 0 -1.57442
0.21967 -0.0366117 0 -1.31679
0.183058 0 0 -1.60245
0.21967 0 0 -1.33649
0.256282 -0.0366117 0 -1.1015
0.292893 -0.0366117 0 -0.924635
0.256282 0 0 -1.11536
0.292893 0 0 -0.934325
-0.256282 0.0366117 0 -1.1015
-0.21967 0.0366117 0 -1.31679
-0.256282 0.0732233 0 -1.0618
-0.21967 0.0732233 0 -1.2609
-0.183058 0.0366117 0 -1.57442
-0.146447 0.0366117 0 -1.8704
-0.183058 0.0732233 0 -1.49571
-0.146447 0.0732233 0 -1.76131
-0.256282 0.109835 0 -1.0013
-0.21967 0.109835 0 -1.17724
-0.256282 0.146447 0 -0.926732
-0.21967 0.146447 0 -1.07655
-0.183058 0.109835 0 -1.38016
-0.146447 0.109835 0 -1.60428
-0.183058 0.146447 0 -1.24466
-0.146447 0.146447 0 -1.42499
-0.109835 0.0366117 0 -2.185
-0.0732233 0.0366117 0 -2.47705
-0.109835 0.0732233 0 -2.03936
-0.0732233 0.0732233 0 -2.29409
